174	Barbados	287,375	0 %	430
175	Sao Tome & Principe	219,159	0 %	960
176	Samoa	198,414	0 %	2,830
177	Saint Lucia	183,627	0 %	610
178	Kiribati	119,449	0 %	810
179	Micronesia	115,023	0 %	700
180	Grenada	112,523	0 %	340
181	St. Vincent & Grenadines	110,940	0 %	390
182	Tonga	105,695	0 %	720
183	Seychelles	98,347	0 %	460
184	Antigua and Barbuda	97,929	0 %	440
185	Andorra	77,265	0 %	470
186	Dominica	71,986	0 %	750
187	Marshall Islands	59,190	0 %	180
188	Saint Kitts & Nevis	53,199	0 %	260
189	Monaco	39,242	0 %	1
190	Liechtenstein	38,128	0 %	160
191	San Marino	33,931	0 %	60
192	Palau	18,094	0 %	460
193	Tuvalu	11,792	0 %	30
194	Nauru	10,824	0 %	20
195	Holy See	801	0 %	0
